Genre,Anime,Score,Eps,Link
Girls Love,Kashimashi: Girl Meets Girl,6.61,12,https://myanimelist.net/anime/667/Kashimashi__Girl_Meets_Girl
Girls Love,Oniisama e...,7.85,39,https://myanimelist.net/anime/795/Oniisama_e
Girls Love,Strawberry Panic,7.26,26,https://myanimelist.net/anime/855/Strawberry_Panic
Girls Love,Simoun,7.41,26,https://myanimelist.net/anime/879/Simoun
Girls Love,Stainless Night,6.08,2,https://myanimelist.net/anime/1407/Stainless_Night
Girls Love,Fushigi no Kuni no Miyuki-chan,5.63,2,https://myanimelist.net/anime/1496/Fushigi_no_Kuni_no_Miyuki-chan
Girls Love,Kashimashi: Girl Meets Girl - Shoujo wa Shoujo ni Koi wo Shita,6.75,1,https://myanimelist.net/anime/1654/Kashimashi__Girl_Meets_Girl_-_Shoujo_wa_Shoujo_ni_Koi_wo_Shita
Girls Love,Maria-sama ga Miteru 3rd,7.79,5,https://myanimelist.net/anime/1729/Maria-sama_ga_Miteru_3rd
Girls Love,Ice,5.27,3,https://myanimelist.net/anime/2169/Ice
Girls Love,Hen,5.01,2,https://myanimelist.net/anime/2317/Hen
Girls Love,G-Taste,5.82,7,https://myanimelist.net/anime/2530/G-Taste
Girls Love,Maria-sama ga Miteru 3rd Specials,7.25,5,https://myanimelist.net/anime/2954/Maria-sama_ga_Miteru_3rd_Specials
Girls Love,Utsukushiki Sei no Dendoushi Reirei,5.45,2,https://myanimelist.net/anime/2959/Utsukushiki_Sei_no_Dendoushi_Reirei
Girls Love,Blue Drop: Tenshi-tachi no Gikyoku,6.66,13,https://myanimelist.net/anime/2964/Blue_Drop__Tenshi-tachi_no_Gikyoku
Girls Love,Mnemosyne: Mnemosyne no Musume-tachi,7.23,6,https://myanimelist.net/anime/3342/Mnemosyne__Mnemosyne_no_Musume-tachi
Girls Love,Candy☆Boy: Side Story For Archive,6.75,1,https://myanimelist.net/anime/3456/Candy☆Boy__Side_Story_For_Archive
Gourmet,Yakitate!! Japan,7.91,69,https://myanimelist.net/anime/28/Yakitate_Japan
Gourmet,Chuuka Ichiban!,7.6,52,https://myanimelist.net/anime/110/Chuuka_Ichiban
Gourmet,Kogepan,6.77,10,https://myanimelist.net/anime/580/Kogepan
Gourmet,Cardcaptor Sakura: Kero-chan ni Omakase!,7.32,1,https://myanimelist.net/anime/1078/Cardcaptor_Sakura__Kero-chan_ni_Omakase
Gourmet,Oishinbo,6.99,136,https://myanimelist.net/anime/1093/Oishinbo
Gourmet,Bartender,7.32,11,https://myanimelist.net/anime/1589/Bartender
Gourmet,Dae Jang Geum: Jang Geum's Dream,7.24,26,https://myanimelist.net/anime/1778/Dae_Jang_Geum__Jang_Geums_Dream
Gourmet,Kakutou Ryouri Densetsu Bistro Recipe,6.02,26,https://myanimelist.net/anime/2287/Kakutou_Ryouri_Densetsu_Bistro_Recipe
Gourmet,Tachiguishi Retsuden,5.38,1,https://myanimelist.net/anime/2388/Tachiguishi_Retsuden
Gourmet,Moyashimon,7.55,11,https://myanimelist.net/anime/3001/Moyashimon
Gourmet,Mister Ajikko,7.11,99,https://myanimelist.net/anime/3437/Mister_Ajikko
Gourmet,Neko Ramen,6.16,13,https://myanimelist.net/anime/3535/Neko_Ramen
Gourmet,Seiyou Kottou Yougashiten: Antique,7,12,https://myanimelist.net/anime/4021/Seiyou_Kottou_Yougashiten__Antique
Gourmet,Miracle! Mimika,,225,https://myanimelist.net/anime/5374/Miracle_Mimika
Gourmet,Ristorante Paradiso,7.29,11,https://myanimelist.net/anime/5984/Ristorante_Paradiso
Gourmet,Cookin' Idol Ai! Mai! Main!,6.25,305,https://myanimelist.net/anime/6119/Cookin_Idol_Ai_Mai_Main
Gourmet,Toradora!: SOS! Kuishinbou Banbanzai,6.41,4,https://myanimelist.net/anime/6127/Toradora__SOS_Kuishinbou_Banbanzai
Gourmet,Ippon Bouchou Mantarou,6.17,2,https://myanimelist.net/anime/6384/Ippon_Bouchou_Mantarou
Gourmet,Yume-iro Pâtissière,7.84,50,https://myanimelist.net/anime/6586/Yume-iro_Pâtissière
Gourmet,Toriko: Jump Super Anime Tour 2009 Special,6.97,1,https://myanimelist.net/anime/6941/Toriko__Jump_Super_Anime_Tour_2009_Special
Gourmet,Hyakko Extra,6.74,1,https://myanimelist.net/anime/6958/Hyakko_Extra
Gourmet,Cooking Papa,6.73,151,https://myanimelist.net/anime/8123/Cooking_Papa
Gourmet,Oishinbo: Nichibei Kome Sensou,6.15,1,https://myanimelist.net/anime/8842/Oishinbo__Nichibei_Kome_Sensou
Gourmet,"Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!",6.21,1,https://myanimelist.net/anime/8848/Oishinbo__Kyuukyoku_tai_Shikou_Chouju_Ryouri_Taiketsu
Gourmet,Dae Jang Geum: Jang Geum's Dream 2,7.29,26,https://myanimelist.net/anime/9200/Dae_Jang_Geum__Jang_Geums_Dream_2
Horror,Kenpuu Denki Berserk,8.6,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Horror,Akira,8.16,1,https://myanimelist.net/anime/47/Akira
Horror,Arc the Lad,6.48,26,https://myanimelist.net/anime/55/Arc_the_Lad
Horror,Blue Gender,7.01,26,https://myanimelist.net/anime/58/Blue_Gender
Horror,Ayashi no Ceres,7.17,24,https://myanimelist.net/anime/104/Ayashi_no_Ceres
Horror,Blood+,7.61,50,https://myanimelist.net/anime/150/Blood_
Horror,Boukyaku no Senritsu,6.26,24,https://myanimelist.net/anime/159/Boukyaku_no_Senritsu
Horror,Shingetsutan Tsukihime,6.79,12,https://myanimelist.net/anime/169/Shingetsutan_Tsukihime
Horror,Kuro no Danshou,5.67,4,https://myanimelist.net/anime/220/Kuro_no_Danshou
Horror,Elfen Lied,7.46,13,https://myanimelist.net/anime/226/Elfen_Lied
Horror,Jigoku Shoujo,7.6,26,https://myanimelist.net/anime/228/Jigoku_Shoujo
Horror,Hitsuji no Uta,6.12,4,https://myanimelist.net/anime/258/Hitsuji_no_Uta
Horror,Hellsing,7.49,13,https://myanimelist.net/anime/270/Hellsing
Horror,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.07,13,https://myanimelist.net/anime/279/Kyougoku_Natsuhiko__Kousetsu_Hyaku_Monogatari
Horror,3x3 Eyes,6.7,4,https://myanimelist.net/anime/300/3x3_Eyes
Horror,Petshop of Horrors,7.23,4,https://myanimelist.net/anime/326/Petshop_of_Horrors
